Topic,Count,Name,Representation,Representative_Docs,Data_Source
-1,4062,-1_ps_然后再离婚代价可就太大了 爱情的三要素之一就是激情_爱情的三要素之一就是激情_你不发生那你就不怕婚后才发现老公功能根本不行 然后再离婚代价可就太大了,"['ps', '然后再离婚代价可就太大了 爱情的三要素之一就是激情', '爱情的三要素之一就是激情', '你不发生那你就不怕婚后才发现老公功能根本不行 然后再离婚代价可就太大了', '你不发生那你就不怕婚后才发现老公功能根本不行', '然后再离婚代价可就太大了', '你不发生那你就不怕婚后才发现老公功能根本不行 然后再离婚代价可就太大了 爱情的三要素之一就是激情', '还有', '是的', '爱情的三要素之一就是激情 你不发生那你就不怕婚后才发现老公功能根本不行 然后再离婚代价可就太大了']","['停经可能是卵巢多囊，卵巢多囊会导致肥胖，多毛和不孕。换一种说法多囊，肥胖，停经，多毛和不孕是伴生品。所以在乎身材外貌和有生育计划的会去治疗。', '停经可能是卵巢多囊，卵巢多囊会导致肥胖，多毛和不孕。换一种说法多囊，肥胖，停经，多毛和不孕是伴生品。所以在乎身材外貌和有生育计划的会去治疗。', '宁拆十座庙，不毁一桩婚。怎么想的呀，劝别人离婚。医院出具的报告，有相当大的权威性。丈夫怀疑无可厚非。']",replies
0,395,0_所以_首先_生育权_其次,"['所以', '首先', '生育权', '其次', '失业率 通胀甚至是大滞涨明明已经发生了', '通胀甚至是大滞涨明明已经发生了', '看似是联邦和州矛盾', '看似是联邦和州矛盾 实际上引爆堕胎话题之后还有多少人关注新冠', '看似是联邦和州矛盾 实际上引爆堕胎话题之后还有多少人关注新冠 失业率', '失业率']","['比如在这里一个女性不想生育但是家里人硬要生，男的可能在避孕措施上做手脚，家里人也会千方百计阻止女性堕胎，报警可能警方说家务事不管，但在那里就可以打官司，用法律来维护自己的权益，更有保障。我是这样理解的，我觉得很好。', '确实，我认同你所说的。人类不应该有支配人类生命的权利。 父母不能决定剥夺胎儿的生命，这是侵犯他人生命权的体现。同样的，胎儿也不应该去自私的索取母体的营养，他的成长与出生会给母体带来健康上的损害，生理的不适，甚至生命的流逝，严重侵犯了母体的生命健康权。 所以，人类不应该拥有生育能力，随意的创造生命，又毁灭生命。胎儿知道自己出现，应该自觉的脱落，而不是为了自身的成长，满足自身的需求，就不负责任的向母体索取营养，寄生在母体体内。', '确实，我认同你所说的。人类不应该有支配人类生命的权利。 父母不能决定剥夺胎儿的生命，这是侵犯他人生命权的体现。同样的，胎儿也不应该去自私的索取母体的营养，他的成长与出生会给母体带来健康上的损害，生理的不适，甚至生命的流逝，严重侵犯了母体的生命健康权。 所以，人类不应该拥有生育能力，随意的创造生命，又毁灭生命。胎儿知道自己出现，应该自觉的脱落，而不是为了自身的成长，满足自身的需求，就不负责任的向母体索取营养，寄生在母体体内。']",replies
1,295,1_丈夫不得以其享有生育权为由强迫妻子生育_如果妻子不愿意生育 丈夫不得以其享有生育权为由强迫妻子生育 如果夫妻在生育问题上的意见分歧最终无法协调_如果妻子不愿意生育 丈夫不得以其享有生育权为由强迫妻子生育_如果妻子不愿意生育,"['丈夫不得以其享有生育权为由强迫妻子生育', '如果妻子不愿意生育 丈夫不得以其享有生育权为由强迫妻子生育 如果夫妻在生育问题上的意见分歧最终无法协调', '如果妻子不愿意生育 丈夫不得以其享有生育权为由强迫妻子生育', '如果妻子不愿意生育', '如果夫妻在生育问题上的意见分歧最终无法协调 致使婚姻关系难以维系的 离婚是解决双方争议的合理途径', '如果夫妻在生育问题上的意见分歧最终无法协调 致使婚姻关系难以维系的', '如果夫妻在生育问题上的意见分歧最终无法协调', '女方拥有最终的生育决定权 这是为了保护妇女在生育问题上的自主权利 不受丈夫意志的左右', '女方拥有最终的生育决定权 这是为了保护妇女在生育问题上的自主权利', '女方拥有最终的生育决定权']","['唉，我似乎发过了一遍“以及，我可从没说生育权是由女性垄断的哦。法律上规定，夫妻双方都享有生育权，但在女方怀孕后，女方拥有最终的生育决定权。这是为了保护妇女在生育问题上的自主权利，不受丈夫意志的左右。如果妻子不愿意生育，丈夫不得以其享有生育权为由强迫妻子生育。如果夫妻在生育问题上的意见分歧最终无法协调，致使婚姻关系难以维系的，离婚是解决双方争议的合理途径。但评论区一大堆人认为生育权是由男性垄断的呢亲。”““两方约定结婚开始备孕，而女方欺骗男方避孕，这行为是不诚信的需要受到谴责。”和“我买来的工具居然不生，造大反了”你觉得评论区普遍是在说哪个呢亲”这两段话吧。哇哦，连自己的母语都不如一个非母语者的你真的好棒棒哦。你要这么想是你的自由呀。需要我给你小红花吗亲～', '我似乎发过了一遍我对视频内容的观点，“两方约定结婚开始备孕，而女方欺骗男方避孕，这行为是不诚信的需要受到谴责。”“法律上规定，夫妻双方都享有生育权，但在女方怀孕后，女方拥有最终的生育决定权。这是为了保护妇女在生育问题上的自主权利，不受丈夫意志的左右。如果妻子不愿意生育，丈夫不得以其享有生育权为由强迫妻子生育。如果夫妻在生育问题上的意见分歧最终无法协调，致使婚姻关系难以维系的，离婚是解决双方争议的合理途径。”我在一楼讨论的是「评论区一大堆人在愤怒“我买来的工具居然不生，造大反了”」但愿你有眼睛。', '我似乎发过了一遍我对视频内容的观点，“两方约定结婚开始备孕，而女方欺骗男方避孕，这行为是不诚信的需要受到谴责。”“法律上规定，夫妻双方都享有生育权，但在女方怀孕后，女方拥有最终的生育决定权。这是为了保护妇女在生育问题上的自主权利，不受丈夫意志的左右。如果妻子不愿意生育，丈夫不得以其享有生育权为由强迫妻子生育。如果夫妻在生育问题上的意见分歧最终无法协调，致使婚姻关系难以维系的，离婚是解决双方争议的合理途径。”我在一楼讨论的是「评论区一大堆人在愤怒“我买来的工具居然不生，造大反了”」但愿你有眼睛。']",replies
2,271,2_还插一嘴 有个知乎老哥就这样被完了 一开始他媳妇说想要丁克_几年以后他媳妇又想要了_知道他不能生后_于是他就去结扎 几年以后他媳妇又想要了 知道他不能生后,"['还插一嘴 有个知乎老哥就这样被完了 一开始他媳妇说想要丁克', '几年以后他媳妇又想要了', '知道他不能生后', '于是他就去结扎 几年以后他媳妇又想要了 知道他不能生后', '于是他就去结扎 几年以后他媳妇又想要了', '于是他就去结扎', '知道他不能生后 就离婚了', '还插一嘴', '还插一嘴 有个知乎老哥就这样被完了', '几年以后他媳妇又想要了 知道他不能生后']","['还插一嘴，有个知乎老哥就这样被完了。一开始他媳妇说想要丁克，于是他就去结扎。几年以后他媳妇又想要了，知道他不能生后，就离婚了。', '还插一嘴，有个知乎老哥就这样被完了。一开始他媳妇说想要丁克，于是他就去结扎。几年以后他媳妇又想要了，知道他不能生后，就离婚了。', '还插一嘴，有个知乎老哥就这样被完了。一开始他媳妇说想要丁克，于是他就去结扎。几年以后他媳妇又想要了，知道他不能生后，就离婚了。']",replies
3,220,3_你敢想象我俩同事的俩孩子相差只有一岁吗怎么来的二胎_二胎双胞胎不算超生_不是二胎_计划生育,"['你敢想象我俩同事的俩孩子相差只有一岁吗怎么来的二胎', '二胎双胞胎不算超生', '不是二胎', '计划生育', '我是二胎 家里同辈里就两个女孩子 我们家硬是走了好多关系才把我生下来', '我妈娘家那时候有人怀了二胎会被zf强行拉去打掉的也不少 很多人都东躲西藏的', '我妈娘家那时候有人怀了二胎会被zf强行拉去打掉的也不少 很多人都东躲西藏的 家里头胎是男孩的就不给在生的', '我是二胎 家里同辈里就两个女孩子', '鸽蛋视频我都收藏了 晚点儿发给他', '我爸妈70后我今年二十出头']","['这个不清楚 应该没有 我准备这个生下来 看看要不要二胎 不要二胎就准备让我老公去鸽蛋了 鸽蛋视频我都收藏了 晚点儿发给他 给他瞅瞅', '计划生育，我们这90年还是算农村，生育很多都是zf强制的。我妈娘家那时候有人怀了二胎会被zf强行拉去打掉的也不少，很多人都东躲西藏的。家里头胎是男孩的就不给在生的，被拉去上环的也很多。我是二胎，家里同辈里就两个女孩子，我们家硬是走了好多关系才把我生下来。生我的时候我家罚了好几千，在91年已经是天价了……我周围同龄的有兄弟姐妹的没几个，大多数都是独生（某种意义上的独生）', '计划生育，我们这90年还是算农村，生育很多都是zf强制的。我妈娘家那时候有人怀了二胎会被zf强行拉去打掉的也不少，很多人都东躲西藏的。家里头胎是男孩的就不给在生的，被拉去上环的也很多。我是二胎，家里同辈里就两个女孩子，我们家硬是走了好多关系才把我生下来。生我的时候我家罚了好几千，在91年已经是天价了……我周围同龄的有兄弟姐妹的没几个，大多数都是独生（某种意义上的独生）']",replies
4,198,4_男性结扎后_结扎_不论男女_打个比方 一对夫妻的孩子小时候夭折了 还想再生一个,"['男性结扎后', '结扎', '不论男女', '打个比方 一对夫妻的孩子小时候夭折了 还想再生一个', '打个比方 一对夫妻的孩子小时候夭折了', '所以需要到有资质的医院 由专业的医生来进行完成输精管吻合手术', '成功率还是比较低的 尤其是那些结扎时间长的大龄备孕者', '成功率还是比较低的 尤其是那些结扎时间长的大龄备孕者 往往预后不理想', '有效期五年', '成功率还是比较低的']","['好像因为男性结扎是不可逆的，打个比方，一对夫妻的孩子小时候夭折了，还想再生一个，如果是男的结扎就没办法了，当时八十年代开始的计划生育政策，都没有试管婴儿技术呢。如果是女性节育，就可以通过取环的方式，然后重新受孕，等于是有个容错率。', '好像因为男性结扎是不可逆的，打个比方，一对夫妻的孩子小时候夭折了，还想再生一个，如果是男的结扎就没办法了，当时八十年代开始的计划生育政策，都没有试管婴儿技术呢。如果是女性节育，就可以通过取环的方式，然后重新受孕，等于是有个容错率。', '复制给你：男性结扎手术后能够恢复正常的生育能力，但是需要通过手术的方法来完成生育能力的恢复。需要将两侧结扎的输精管在显微镜下进行端端吻合，恢复输精管通畅性，男性就可以恢复正常的生育能力。 男性的结扎手术是一种可逆的手术，如果患者有生育要求可以通过再次手术的方式来恢复男性的生育能力。目前随着显微技术的进一步进展，可以由传统的直接吻合改为显微镜下吻合，在显微镜下能够清晰的显示输精管道管腔，做到多点吻合同时可以做到断端的吻合，避免吻合后再次发生狭窄。 但是手术相对比较精巧，对技术要求相对比较高，所以需要到有资质的医院，由专业的医生来进行完成输精管吻合手术。输精管吻合后则通畅性恢复，精液就可以通过输精管射出体外来达到恢复生育能力的目的。 （百度百科）']",replies
5,132,5_我小舅妈_我妈说他们夫妻俩孩子太密_然后高龄产妇 剖腹产 半夜羊水破_然后高龄产妇 剖腹产,"['我小舅妈', '我妈说他们夫妻俩孩子太密', '然后高龄产妇 剖腹产 半夜羊水破', '然后高龄产妇 剖腹产', '然后高龄产妇', '我妈说他们夫妻俩孩子太密 还有我另一个小舅妈', '我小舅妈 三年俩娃 我妈说他们夫妻俩孩子太密', '我小舅妈 三年俩娃', '我妈说他们夫妻俩孩子太密 还有我另一个小舅妈 在我小妹三四岁的时候就流了好几个', '早产儿']","['是的，我初三的时候妈妈怀孕，本来想生下来，但是胎停了，只能流掉', '我小舅妈，三年俩娃，我妈说他们夫妻俩孩子太密。还有我另一个小舅妈，在我小妹三四岁的时候就流了好几个，可是又在我小妹初三的时候怀了二胎，因为那个时候年纪也大了一些就没舍得打胎，然后高龄产妇，剖腹产，半夜羊水破，早产儿', '我小舅妈，三年俩娃，我妈说他们夫妻俩孩子太密。还有我另一个小舅妈，在我小妹三四岁的时候就流了好几个，可是又在我小妹初三的时候怀了二胎，因为那个时候年纪也大了一些就没舍得打胎，然后高龄产妇，剖腹产，半夜羊水破，早产儿']",replies
6,124,6_我独生女 我出房出车 彩礼也要_接受丁克 但是如果生育 孩子无论几胎都必须跟我姓_数目随意_我独生女 我出房出车,"['我独生女 我出房出车 彩礼也要', '接受丁克 但是如果生育 孩子无论几胎都必须跟我姓', '数目随意', '我独生女 我出房出车', '我独生女', '我出房出车 彩礼也要 数目随意', '我出房出车 彩礼也要', '我出房出车', '我个人是另外一种模式 我独生女 我出房出车', '我个人是另外一种模式 我独生女']","['当然，也有两头婚的情况。以下是我前边的回复。【有没有考虑过健康的关系下，彩礼和嫁妆一同带到男方女方共同组成的新家，当做启动资金，添置一些家用，旅游啥的。这种家庭，孩子也可以随母姓。彩礼，嫁妆，其实本质就是长辈给晚辈的红包，有实际作用和存在意义。我是女性，我一定要彩礼，我家也会出相应的钱一起带来，小城市一般都九万九，六万六这样。我也同样反对天价彩礼。】这种情况下，一般生俩，一个跟父一个跟母。而你要明白，男性彩礼是在有婚前实质后算作赠与，而女方则承担生育责任和风险，生个娃不是那么容易的。双方分工不同，各吃各的亏乖。', '我个人是另外一种模式，我独生女，我出房出车，彩礼也要，数目随意，嫁妆回一样的，都带到新家。接受丁克，但是如果生育，孩子无论几胎都必须跟我姓。', '我个人是另外一种模式，我独生女，我出房出车，彩礼也要，数目随意，嫁妆回一样的，都带到新家。接受丁克，但是如果生育，孩子无论几胎都必须跟我姓。']",replies
7,121,7_现在还凑合过呢_现在还凑合过呢 他俩都多少年分局了_我小时候父母就闹离婚 现在还凑合过呢 他俩都多少年分局了_我觉得现在抑郁的孩子越来越多和家长教育理念教育方式都有很大关系,"['现在还凑合过呢', '现在还凑合过呢 他俩都多少年分局了', '我小时候父母就闹离婚 现在还凑合过呢 他俩都多少年分局了', '我觉得现在抑郁的孩子越来越多和家长教育理念教育方式都有很大关系', '我小时候父母就闹离婚', '我小时候父母就闹离婚 现在还凑合过呢', '心理上的', '我觉得现在抑郁的孩子越来越多和家长教育理念教育方式都有很大关系 也和原生家庭氛围有关系', '原生家庭', '谢谢你']","['我小时候父母就闹离婚，现在还凑合过呢，他俩都多少年分局了', '我小时候父母就闹离婚，现在还凑合过呢，他俩都多少年分局了', '可能因为家庭方面。我父母算是离婚了，她父母老年得子，3女一男，重男轻女。现在回想起来，我们都想着寻求，爱这个东西吧？谈了2个月，每天都qq聊天到很晚，越深入越觉得，当时的我给不了她任何东西。而且她有点极端，你敢相信13岁的6年级女生割手腕吗？我怕了，胆怯了，我不管说出来。一切都让她承受了，我觉得对不起她，配不上她，更保护不了她，我单方面分手了。为了备战中考，手机被收了，3个月没有联系。这段时间可能因为冷静下来，我对于她感情淡了下来。']",replies
8,119,8_都把婚姻生孩子描绘的很美好_以前那些长辈怕女孩不结婚怕生孩子_以前那些长辈怕女孩不结婚怕生孩子 都把婚姻生孩子描绘的很美好 就怕了解清楚女孩就不想生娃结婚了_以前那些长辈怕女孩不结婚怕生孩子 都把婚姻生孩子描绘的很美好,"['都把婚姻生孩子描绘的很美好', '以前那些长辈怕女孩不结婚怕生孩子', '以前那些长辈怕女孩不结婚怕生孩子 都把婚姻生孩子描绘的很美好 就怕了解清楚女孩就不想生娃结婚了', '以前那些长辈怕女孩不结婚怕生孩子 都把婚姻生孩子描绘的很美好', '哄女孩子生孩子的 以前那些长辈怕女孩不结婚怕生孩子', '哄女孩子生孩子的', '哄女孩子生孩子的 以前那些长辈怕女孩不结婚怕生孩子 都把婚姻生孩子描绘的很美好', '就怕了解清楚女孩就不想生娃结婚了', '都把婚姻生孩子描绘的很美好 就怕了解清楚女孩就不想生娃结婚了', '就怕了解清楚女孩就不想生娃结婚了 哄女孩子生孩子的 以前那些长辈怕女孩不结婚怕生孩子']","['哄女孩子生孩子的，以前那些长辈怕女孩不结婚怕生孩子，都把婚姻生孩子描绘的很美好，就怕了解清楚女孩就不想生娃结婚了', '哄女孩子生孩子的，以前那些长辈怕女孩不结婚怕生孩子，都把婚姻生孩子描绘的很美好，就怕了解清楚女孩就不想生娃结婚了', '哄女孩子生孩子的，以前那些长辈怕女孩不结婚怕生孩子，都把婚姻生孩子描绘的很美好，就怕了解清楚女孩就不想生娃结婚了']",replies
9,105,9_挺好的 最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下_一楼某些言论根本不是想改善生育风险和痛苦_一楼某些言论根本不是想改善生育风险和痛苦 目的只是让另一部分群体 受罪_一楼某些言论根本不是想改善生育风险和痛苦 目的只是让另一部分群体,"['挺好的 最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下', '一楼某些言论根本不是想改善生育风险和痛苦', '一楼某些言论根本不是想改善生育风险和痛苦 目的只是让另一部分群体 受罪', '一楼某些言论根本不是想改善生育风险和痛苦 目的只是让另一部分群体', '最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下', '想让其他人生孩子的时候 视频里说的腹腔妊娠的巨大危害根本不考虑 说到共同努力实现体外妊娠的时候开始说取卵多受罪了', '想让其他人生孩子的时候 视频里说的腹腔妊娠的巨大危害根本不考虑', '最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下 让他们理解一下 是不是就他们上下两张皮说的那么简单', '最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下 让他们理解一下', '我觉得那种可以模拟女性生育痛苦的那个机器 挺好的 最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下']","['一楼某些言论根本不是想改善生育风险和痛苦，目的只是让另一部分群体“受罪”，想让其他人生孩子的时候，视频里说的腹腔妊娠的巨大危害根本不考虑，说到共同努力实现体外妊娠的时候开始说取卵多受罪了，分流ETC是吧，双标抬杠捏', '我觉得那种可以模拟女性生育痛苦的那个机器，挺好的，最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下，让他们理解一下，是不是就他们上下两张皮说的那么简单！', '我觉得那种可以模拟女性生育痛苦的那个机器，挺好的，最起码让那些觉得生孩子的疼痛女生就应该承受的男的体验一下，让他们理解一下，是不是就他们上下两张皮说的那么简单！']",replies
10,93,10_能不能看完评论了再评论_就算复通成功了生育几率也会下降 而且复通手术加上恢复阶段小1万块钱_就算复通成功了生育几率也会下降_男性结扎不说复通几率大小 就算复通成功了生育几率也会下降 而且复通手术加上恢复阶段小1万块钱,"['能不能看完评论了再评论', '就算复通成功了生育几率也会下降 而且复通手术加上恢复阶段小1万块钱', '就算复通成功了生育几率也会下降', '男性结扎不说复通几率大小 就算复通成功了生育几率也会下降 而且复通手术加上恢复阶段小1万块钱', '男性结扎不说复通几率大小', '压根不管事情的经过 也不看完评论的内容 不回复了', '压根不管事情的经过 也不看完评论的内容', '压根不管事情的经过', '而且复通手术加上恢复阶段小1万块钱', '而且复通手术加上恢复阶段小1万块钱 这确实不比用药用套来的实用']","['我服了啊，能不能看完评论了再评论，我说了用药前去医院询问意见，而且我是回复那个不用药不用套让男性结扎来避孕的好吗？你们这些人怎么分不清避孕和绝育啊。而且相比男性结扎的后续问题确实用套用药都比男性结扎后果来的小，男性结扎不说复通几率大小，就算复通成功了生育几率也会下降，而且复通手术加上恢复阶段小1万块钱，这确实不比用药用套来的实用。你们只是想发泄看完视频后的情绪而已，压根不管事情的经过，也不看完评论的内容。不回复了！', '我服了啊，能不能看完评论了再评论，我说了用药前去医院询问意见，而且我是回复那个不用药不用套让男性结扎来避孕的好吗？你们这些人怎么分不清避孕和绝育啊。而且相比男性结扎的后续问题确实用套用药都比男性结扎后果来的小，男性结扎不说复通几率大小，就算复通成功了生育几率也会下降，而且复通手术加上恢复阶段小1万块钱，这确实不比用药用套来的实用。你们只是想发泄看完视频后的情绪而已，压根不管事情的经过，也不看完评论的内容。不回复了！', '我服了啊，能不能看完评论了再评论，我说了用药前去医院询问意见，而且我是回复那个不用药不用套让男性结扎来避孕的好吗？你们这些人怎么分不清避孕和绝育啊。而且相比男性结扎的后续问题确实用套用药都比男性结扎后果来的小，男性结扎不说复通几率大小，就算复通成功了生育几率也会下降，而且复通手术加上恢复阶段小1万块钱，这确实不比用药用套来的实用。你们只是想发泄看完视频后的情绪而已，压根不管事情的经过，也不看完评论的内容。不回复了！']",replies
11,92,11_我管他谁的伤害大呢 你不想生你给自己结扎带环_有对力的必要 你俩连生不生都做不了一致意见还过什么大劲_有对力的必要_我管他谁的伤害大呢 你不想生你给自己结扎带环 俩人意见不和就离婚呗,"['我管他谁的伤害大呢 你不想生你给自己结扎带环', '有对力的必要 你俩连生不生都做不了一致意见还过什么大劲', '有对力的必要', '我管他谁的伤害大呢 你不想生你给自己结扎带环 俩人意见不和就离婚呗', '我管他谁的伤害大呢', '及时止损', '明白了', '很真实', '不可能', '我妈']","['及时止损 如果硬着头皮上 离婚损失更大 我的同事仔都有两个了 都还问离婚 离谱的是 女方不要孩子 意图可见', '谁不想生谁上呗，我管他谁的伤害大呢？你不想生你给自己结扎带环，俩人意见不和就离婚呗，跟着吵什么男女对立，有对力的必要？你俩连生不生都做不了一致意见还过什么大劲', '谁不想生谁上呗，我管他谁的伤害大呢？你不想生你给自己结扎带环，俩人意见不和就离婚呗，跟着吵什么男女对立，有对力的必要？你俩连生不生都做不了一致意见还过什么大劲']",replies
12,87,12_万一工作期间任何缘由流胎小产_换了别的单位 让你多干点文职 整天坐着敲敲电脑打打电话_整天坐着敲敲电脑打打电话_整天坐着敲敲电脑打打电话 有什么力气活儿男同事代把手,"['万一工作期间任何缘由流胎小产', '换了别的单位 让你多干点文职 整天坐着敲敲电脑打打电话', '整天坐着敲敲电脑打打电话', '整天坐着敲敲电脑打打电话 有什么力气活儿男同事代把手', '整天坐着敲敲电脑打打电话 有什么力气活儿男同事代把手 单位也不用太计较', '明摆着就是幼教', '明摆着就是幼教 真有那么不懂事的孩子撞你一下 出了事谁负责', '有什么力气活儿男同事代把手', '有什么力气活儿男同事代把手 单位也不用太计较', '有什么力气活儿男同事代把手 单位也不用太计较 好的员工也不好找']","['我不相信这么说这么明白了还能有人不懂，光是怀孕产假发工资的事情就算了，换了别的单位，让你多干点文职，整天坐着敲敲电脑打打电话，有什么力气活儿男同事代把手，单位也不用太计较，好的员工也不好找。但是上一胎刚顺产前一个孩子才四个月大，肚子里又有了一个多月不到两个月的，真对大小两个孩子负责就在家安胎，实在有经济压力优先考虑对身体更好的职业比如居家办公，这机构墙上壁橱到处贴满了童画摆满了玩具，明摆着就是幼教，真有那么不懂事的孩子撞你一下，出了事谁负责？跟单位闹，单位委屈，跟肇事孩子的家长闹那公司也别开了。这视频就离谱，我看的是更完整版，本来负责人就没想说实情留个面子，这傻逼记者一个劲儿逼问才说了接连怀孕的内情，负责人也是中年女性，反过来给这男记者科普女性生育后半年内最好不要再怀孕，她当然知道这女生现在这情况很危险容易出事才决定解职的，真让你平平安安保好胎撑过老二也出来还算是万幸了，万一工作期间任何缘由流胎小产，小庙赔不起这大佛', '我不相信这么说这么明白了还能有人不懂，光是怀孕产假发工资的事情就算了，换了别的单位，让你多干点文职，整天坐着敲敲电脑打打电话，有什么力气活儿男同事代把手，单位也不用太计较，好的员工也不好找。但是上一胎刚顺产前一个孩子才四个月大，肚子里又有了一个多月不到两个月的，真对大小两个孩子负责就在家安胎，实在有经济压力优先考虑对身体更好的职业比如居家办公，这机构墙上壁橱到处贴满了童画摆满了玩具，明摆着就是幼教，真有那么不懂事的孩子撞你一下，出了事谁负责？跟单位闹，单位委屈，跟肇事孩子的家长闹那公司也别开了。这视频就离谱，我看的是更完整版，本来负责人就没想说实情留个面子，这傻逼记者一个劲儿逼问才说了接连怀孕的内情，负责人也是中年女性，反过来给这男记者科普女性生育后半年内最好不要再怀孕，她当然知道这女生现在这情况很危险容易出事才决定解职的，真让你平平安安保好胎撑过老二也出来还算是万幸了，万一工作期间任何缘由流胎小产，小庙赔不起这大佛', '我不相信这么说这么明白了还能有人不懂，光是怀孕产假发工资的事情就算了，换了别的单位，让你多干点文职，整天坐着敲敲电脑打打电话，有什么力气活儿男同事代把手，单位也不用太计较，好的员工也不好找。但是上一胎刚顺产前一个孩子才四个月大，肚子里又有了一个多月不到两个月的，真对大小两个孩子负责就在家安胎，实在有经济压力优先考虑对身体更好的职业比如居家办公，这机构墙上壁橱到处贴满了童画摆满了玩具，明摆着就是幼教，真有那么不懂事的孩子撞你一下，出了事谁负责？跟单位闹，单位委屈，跟肇事孩子的家长闹那公司也别开了。这视频就离谱，我看的是更完整版，本来负责人就没想说实情留个面子，这傻逼记者一个劲儿逼问才说了接连怀孕的内情，负责人也是中年女性，反过来给这男记者科普女性生育后半年内最好不要再怀孕，她当然知道这女生现在这情况很危险容易出事才决定解职的，真让你平平安安保好胎撑过老二也出来还算是万幸了，万一工作期间任何缘由流胎小产，小庙赔不起这大佛']",replies
